School Name,City,State,District Name,Model Selected,Award_Amount,Region
HOGARTH KINGEEKUK MEMORIAL SCHOOL,SAVOONGA,AK,BERING STRAIT SCHOOL DISTRICT,Transformation,471014,West
AKIACHAK SCHOOL,AKIACHAK,AK,YUPIIT SCHOOL DISTRICT,Transformation,520579,West
GAMBELL SCHOOL,GAMBELL,AK,BERING STRAIT SCHOOL DISTRICT,Transformation,449592,West
BURCHELL HIGH SCHOOL,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Transformation,641184,West
AKIAK SCHOOL,AKIAK,AK,YUPIIT SCHOOL DISTRICT,Transformation,399686,West
MIDVALLEY HIGH,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Restart,697703,West
TULUKSAK SCHOOL,TULUKSAK,AK,YUPIIT SCHOOL DISTRICT,Transformation,427658,West
CAPITOL HEIGHTS JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,110544,South
LOWNDES CO MIDDLE SCH,FORT DEPOSIT,AL,LOWNDES COUNTY,Transformation,12973,South
CENTRAL MIDDLE SCH,ROCKFORD,AL,COOSA COUNTY,Transformation,199828,South
BELLINGRATH JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,165903,South
HAYNEVILLE MIDDLE SCH,HAYNEVILLE,AL,LOWNDES COUNTY,Transformation,121657,South
SOUTHLAWN MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,914557,South
CONTINUOUS LEARNING CTR,MOBILE,AL,MOBILE COUNTY,Transformation,198953,South
JACKSON-STEELE ELEM SCH,HAYNEVILLE,AL,LOWNDES COUNTY,Transformation,118394,South
MCINTYRE MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,143238,South
JOHN ESSEX HIGH SCH,DEMOPOLIS,AL,MARENGO COUNTY,Transformation,151116,South
CALHOUN HIGH SCH,LETOHATCHEE,AL,LOWNDES COUNTY,Transformation,163619,South
OSCEOLA MIDDLE SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,Transformation,665000,South
HALL HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,Transformation,198728,South
ROSE CITY MIDDLE SCHOOL,NORTH LITTLE ROCK,AR,N. LITTLE ROCK SCHOOL DISTRICT,Transformation,991451,South
TRUSTY ELEMENTARY SCHOOL,FORT SMITH,AR,FORT SMITH SCHOOL DISTRICT,Transformation,990135,South
J.A. FAIR HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,Transformation,197012,South
OSCEOLA HIGH SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,Transformation,695000,South
CLOVERDALE MIDDLE SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,Transformation,198783,South
GADSDEN ELEMENTARY SCHOOL,GADSDEN,AZ,GADSDEN ELEMENTARY DISTRICT,Transformation,847003,West
EAST VALLEY HIGH SCHOOL,MESA,AZ,LEGACY EDUCATION GROUP,Turnaround,381512,West
CRITTENTON YOUTH ACADEMY,PHOENIX,AZ,FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.,Turnaround,915959,West
ALCHESAY HIGH SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,Transformation,812195,West
SAN CARLOS HIGH SCHOOL,SAN CARLOS,AZ,SAN CARLOS UNIFIED DISTRICT,Transformation,928654,West
PIMA PARTNERSHIP SCHOOL  THE,TUCSON,AZ,PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP SCHOOL  THE,Turnaround,818238,West
LA PUERTA HIGH SCHOOL,PHOENIX,AZ,OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.,Turnaround,634503,West
PROJECT MORE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,Transformation,836556,West
PEACH SPRINGS SCHOOL,PEACH SPRINGS,AZ,PEACH SPRINGS UNIFIED DISTRICT,Transformation,880050,West
WHITE CONE HIGH SCHOOL,WHITE CONE,AZ,CEDAR UNIFIED DISTRICT,Transformation,728696,West
JAMES SANDOVAL PREPARATORY HIGH SCHOOL,PHOENIX,AZ,JAMES SANDOVAL PREPARATORY HIGH SCHOOL,Transformation,696668,West
SEVEN MILE SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,Transformation,826589,West
Rice Elementary School,San Carlos,AZ,San Carlos Unified District,Transformation,204246,West
HOWENSTINE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,Transformation,760314,West
BABOQUIVARI HIGH SCHOOL,SELLS,AZ,INDIAN OASIS-BABOQUIVARI UNIFIED DISTRICT,Turnaround,558022,West
IMAGINE ELEMENTARY AT CAMELBACK,PHOENIX,AZ,IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.,Turnaround,696520,West
MT TIPTON ELEMENTARY SCHOOL,DOLAN SPRINGS,AZ,KINGMAN UNIFIED SCHOOL DISTRICT,Transformation,565322,West
CANYON DAY JUNIOR HIGH SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,Transformation,599344,West
SELIGMAN HIGH SCHOOL,SELIGMAN,AZ,SELIGMAN UNIFIED DISTRICT,Turnaround,490954,West
FREMONT MIDDLE,POMONA,CA,POMONA UNIFIED,Transformation,174245,West
SIERRA INTERMEDIATE,SANTA ANA,CA,SANTA ANA UNIFIED,Transformation,181152,West
LONGWOOD ELEMENTARY,HAYWARD,CA,HAYWARD UNIFIED,Turnaround,162698,West
MCFARLAND HIGH,MCFARLAND,CA,MCFARLAND UNIFIED,Transformation,997852,West
PACIFIC HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Transformation,10000,West
GREENFIELD ELEMENTARY,GREENFIELD,CA,GREENFIELD UNION ELEMENTARY,Transformation,743444,West
TUMBLEWEED ELEMENTARY,PALMDALE,CA,PALMDALE ELEMENTARY,Turnaround,179933,West
HILLSIDE ELEMENTARY,SAN LEANDRO,CA,SAN LORENZO UNIFIED,Transformation,530980,West
FLORENCE GRIFFITH JOYNER ELEMENTARY,LOS ANGELES,CA,LOS ANGELES UNIFIED,Restart,188694,West
SAN GORGONIO HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Transformation,10000,West
FONTANA A. B. MILLER HIGH,FONTANA,CA,FONTANA UNIFIED,Transformation,10000,West
ELMHURST COMMUNITY PREP,OAKLAND,CA,OAKLAND UNIFIED,Transformation,121793,West
PAUL REVERE ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Transformation,181577,West
SAMUEL GOMPERS MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,Restart,189201,West
DAVIDSON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Transformation,148577,West
PALM AVENUE ELEMENTARY,WASCO,CA,WASCO UNION ELEMENTARY,Transformation,148665,West
SHORE ACRES ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,Transformation,12252,West
CESAR CHAVEZ ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Transformation,175737,West
BUTTONWILLOW ELEMENTARY,BUTTONWILLOW,CA,BUTTONWILLOW UNION ELEMENTARY,Transformation,559268,West
EDISON-RONALD MCNAIR INTERMEDIATE,EAST PALO ALTO,CA,RAVENSWOOD CITY ELEMENTARY,Turnaround,135806,West
CENTURY HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,Transformation,197223,West
LAKESIDE ELEMENTARY,HANFORD,CA,LAKESIDE UNION ELEMENTARY,Transformation,913211,West
KING/CHAVEZ ARTS ACADEMY,SAN DIEGO,CA,SAN DIEGO UNIFIED,Transformation,102906,West
PHARIS F. FEDDE MIDDLE,HAWAIIAN GARDENS,CA,ABC UNIFIED,Transformation,10000,West
SEASIDE HIGH,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,Turnaround,159471,West
ELLA ELEMENTARY,OLIVEHURST,CA,MARYSVILLE JOINT UNIFIED,Turnaround,180738,West
WILSON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Turnaround,925749,West
YOSEMITE MIDDLE,FRESNO,CA,FRESNO UNIFIED,Turnaround,173752,West
T. S. MACQUIDDY ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,Transformation,577030,West
ENCINA PREPARATORY HIGH,SACRAMENTO,CA,SAN JUAN UNIFIED,Turnaround,102743,West
EDWIN MARKHAM MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,Restart,185886,West
RIO VISTA ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Transformation,142575,West
FELICITA ELEMENTARY,ESCONDIDO,CA,ESCONDIDO UNION,Turnaround,171031,West
UNITED FOR SUCCESS ACADEMY,OAKLAND,CA,OAKLAND UNIFIED,Transformation,128129,West
MISSION HIGH,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Transformation,201467,West
GARDENA SENIOR HIGH,GARDENA,CA,LOS ANGELES UNIFIED,Transformation,167368,West
BARTON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Turnaround,10000,West
ROSE FERRERO ELEMENTARY,SOLEDAD,CA,SOLEDAD UNIFIED,Turnaround,157616,West
GEORGE WASHINGTON CARVER ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Turnaround,158151,West
EASTSIDE HIGH,LANCASTER,CA,ANTELOPE VALLEY UNION HIGH,Transformation,10000,West
GLENBROOK MIDDLE,CONCORD,CA,MT. DIABLO UNIFIED,Transformation,584002,West
COSTANO ELEMENTARY,EAST PALO ALTO,CA,RAVENSWOOD CITY ELEMENTARY,Turnaround,135806,West
WILLARD INTERMEDIATE,SANTA ANA,CA,SANTA ANA UNIFIED,Transformation,181152,West
PESCADERO ELEMENTARY AND MIDDLE,PESCADERO,CA,LA HONDA-PESCADERO UNIFIED,Transformation,629711,West
BURBANK ELEMENTARY,SAN DIEGO,CA,SAN DIEGO UNIFIED,Transformation,116423,West
HIGHLANDS ACADEMY OF ARTS AND DESIGN,NORTH HIGHLANDS,CA,TWIN RIVERS UNIFIED,Transformation,184555,West
MARTIN LUTHER KING,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,Turnaround,126595,West
BURBANK ELEMENTARY,HAYWARD,CA,HAYWARD UNIFIED,Transformation,158712,West
EMERSON MIDDLE,POMONA,CA,POMONA UNIFIED,Transformation,152096,West
SANTA ANA HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,Transformation,197223,West
MAYWOOD ACADEMY HIGH,MAYWOOD,CA,LOS ANGELES UNIFIED,Transformation,187692,West
SHANDIN HILLS MIDDLE,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Turnaround,10000,West
WEBSTER ELEMENTARY,FRESNO,CA,FRESNO UNIFIED,Turnaround,17325,West
HALL DISTRICT ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,Transformation,630428,West
EVERETT MIDDLE,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Turnaround,140557,West
THOMAS JEFFERSON SENIOR HIGH,LOS ANGELES,CA,LOS ANGELES UNIFIED,Transformation,180068,West
MARSHALL ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Turnaround,194293,West
SAN JUAN,SAN JUAN BAUTISTA,CA,AROMAS/SAN JUAN UNIFIED,Transformation,173426,West
WEST SHORES HIGH,SALTON CITY,CA,COACHELLA VALLEY UNIFIED,Turnaround,126036,West
EXPLORE MIDDLE,OAKLAND,CA,OAKLAND UNIFIED,Closure,49045,West
JOHN MUIR ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Turnaround,148146,West
LINCOLN ELEMENTARY,RICHMOND,CA,WEST CONTRA COSTA UNIFIED,Turnaround,122138,West
SEMITROPIC ELEMENTARY,WASCO,CA,SEMITROPIC ELEMENTARY,Transformation,133333,West
GEORGE WASHINGTON CARVER MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,Restart,174824,West
BRYANT ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Turnaround,155171,West
LITTLEROCK HIGH,LITTLEROCK,CA,ANTELOPE VALLEY UNION HIGH,Transformation,17292,West
BEL AIR ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,Transformation,144166,West
POMONA SENIOR HIGH,POMONA,CA,POMONA UNIFIED,Transformation,189832,West
VALLEY HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,Transformation,197223,West
TENNYSON HIGH,HAYWARD,CA,HAYWARD UNIFIED,Transformation,179529,West
HIGHLAND ELEMENTARY,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,Turnaround,126595,West
ARROYO VALLEY HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Transformation,10000,West
VISTA VERDE MIDDLE,GREENFIELD,CA,GREENFIELD UNION ELEMENTARY,Transformation,806917,West
CACTUS MIDDLE,PALMDALE,CA,PALMDALE ELEMENTARY,Turnaround,184271,West
SADDLEBACK HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,Transformation,197223,West
ROBERT LOUIS STEVENSON MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,Restart,189229,West
SERRANO MIDDLE,HIGHLAND,CA,SAN BERNARDINO CITY UNIFIED,Turnaround,179747,West
CARVER ACADEMY,FRESNO,CA,FRESNO UNIFIED,Turnaround,105245,West
CALABASAS ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,Transformation,631759,West
JOHN O'CONNELL ALTERNATIVE HIGH,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Transformation,163043,West
HILLCREST DRIVE ELEMENTARY,LOS ANGELES,CA,LOS ANGELES UNIFIED,Transformation,189181,West
HUNT ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,Turnaround,140097,West
RIVERSIDE COUNTY COMMUNITY,RIVERSIDE,CA,RIVERSIDE COUNTY OFFICE OF EDUCATION,Transformation,141497,West
CHUALAR ELEMENTARY,CHUALAR,CA,CHUALAR UNION ELEMENTARY,Transformation,233414,West
RIO VISTA ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,Transformation,443230,West
HORACE MANN MIDDLE,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Transformation,125599,West
STANFORD NEW SCHOOL,MENLO PARK,CA,RAVENSWOOD CITY ELEMENTARY,Transformation,105585,West
CESAR ESTRADA CHAVEZ DUAL LANGUAGE IMMERSION CHART,SANTA BARBARA,CA,SANTA BARBARA ELEMENTARY,Transformation,388816,West
JEFFERSON ELEMENTARY,LINDSAY,CA,LINDSAY UNIFIED,Turnaround,108247,West
"BROWN, JR., (WILLIE L.) ELEMENTARY",SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,Closure,50000,West
NORTE VISTA HIGH,RIVERSIDE,CA,ALVORD UNIFIED,Turnaround,187562,West
MARCH MOUNTAIN HIGH,MORENO VALLEY,CA,MORENO VALLEY UNIFIED,Transformation,481154,West
NORTH HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Transformation,924081,West
HASKIN ELEMENTARY SCHOOL,CENTER,CO,"CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT., OF THE COUNT",Transformation,539797,West
RONCALLI MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",Transformation,674025,West
CENTRAL HIGH SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",Transformation,852911,West
MONTBELLO HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Transformation,100778,West
LAKE MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Restart,619609,West
HANSON ELEMENTARY SCHOOL,COMMERCE CITY,CO,SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,Transformation,641451,West
LEMUEL PITTS MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",Turnaround,622865,West
CLIFTON ELEMENTARY SCHOOL,CLIFTON,CO,MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51,Transformation,821295,West
RISHEL MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Closure,13729,West
GREENLEE K-8 SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Turnaround,671148,West
FORT LOGAN ELEMENTARY SCHOOL,ENGLEWOOD,CO,SHERIDAN SCHOOL DISTRICT NO. 2,Turnaround,728445,West
JAMES H RISLEY MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",Turnaround,606822,West
SKYLAND COMMUNITY HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Closure,31935,West
PHILIPS ELEMENTARY SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Closure,32491,West
GILPIN K-8 SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Turnaround,374767,West
YOUTH & FAMILY ACADEMY CHARTER,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",Transformation,481016,West
FREED MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",Turnaround,595238,West
NOEL MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Transformation,825829,West
BURNS SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,Turnaround,430568,Northeast
BARNUM SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,Transformation,500000,Northeast
KATHERINE BRENNAN SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,Turnaround,590000,Northeast
DR. RAMON E. BETANCES SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,Turnaround,400000,Northeast
STAMFORD ACADEMY,STAMFORD,CT,STAMFORD ACADEMY,Transformation,400000,Northeast
JAMES HILLHOUSE HIGH SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,Transformation,700000,Northeast
MILNER SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,Turnaround,430569,Northeast
HARDING HIGH SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,Restart,800000,Northeast
NATCHAUG SCHOOL,WILLIMANTIC,CT,WINDHAM SCHOOL DISTRICT,Transformation,700000,Northeast
HILL CENTRAL MUSIC ACADEMY,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,Turnaround,590000,Northeast
SAND SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,Turnaround,400000,Northeast
BASSICK HIGH SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,Transformation,700000,Northeast
WILBUR CROSS HIGH SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,Transformation,700000,Northeast
SMALLEY ACADEMY,NEW BRITAIN,CT,NEW BRITAIN SCHOOL DISTRICT,Transformation,700000,Northeast
ANACOSTIA SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Restart,517340,
BROWNE EC,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Transformation,445400,
DUNBAR SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Restart,517340,
HAMILTON CENTER SPEC ED AT HAMILTON SCHOOL,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Turnaround,330050,
SPINGARN SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Transformation,619950,
EASTERN SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Turnaround,189350,
LUKE C. MOORE ACADEMY SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Turnaround,552658,
PROSPECT LC,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Transformation,180700,
OPTIONS PCS,DISTRICT OF COLUMBIA,DC,OPTIONS PCS,Turnaround,541226,
KENILWORTH ES,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Restart,305325,
SEAFORD SENIOR HIGH SCHOOL,SEAFORD,DE,SEAFORD SCHOOL DISTRICT,Transformation,630295,South
