School Name,City,State,District Name,Model Selected,Award_Amount,Region
MOUNT PLEASANT HIGH SCHOOL,WILMINGTON,DE,BRANDYWINE SCHOOL DISTRICT,Transformation,672921,South
LITTLE RIVER ELEMENTARY SCHOOL,MIAMI,FL,DADE,Transformation,394739,South
HARDEE SENIOR HIGH SCHOOL,WAUCHULA,FL,HARDEE,Transformation,733198,South
MIAMI SOUTHRIDGE SENIOR HIGH,MIAMI,FL,DADE,Turnaround,115447,South
POINCIANA HIGH SCHOOL,KISSIMMEE,FL,OSCEOLA,Transformation,660025,South
EAST GADSDEN HIGH SCHOOL,HAVANA,FL,GADSDEN,Transformation,737977,South
COLUMBIA HIGH SCHOOL,LAKE CITY,FL,COLUMBIA,Transformation,759293,South
MIAMI JACKSON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,Transformation,816787,South
MEMORIAL MIDDLE SCHOOL,ORLANDO,FL,ORANGE,Transformation,652558,South
LARKDALE ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,Transformation,713746,South
EDWARD H. WHITE HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,Transformation,759293,South
ST. JOHNS TECHNICAL HIGH SCHOOL,ST AUGUSTINE,FL,ST. JOHNS,Transformation,728868,South
HOMESTEAD SENIOR HIGH SCHOOL,HOMESTEAD,FL,DADE,Transformation,845263,South
LEESBURG HIGH SCHOOL,LEESBURG,FL,LAKE,Transformation,734298,South
CHARLES W. DUVAL ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,Transformation,759293,South
SMART POPE LIVINGSTON ELEMENTARY,JACKSONVILLE,FL,DUVAL,Transformation,500000,South
DIXIE M. HOLLINS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,Transformation,500000,South
DR. HENRY W. MACK/WEST LITTLE RIVER ELEMENTARY SCH,MIAMI,FL,DADE,Transformation,258108,South
CENTRAL HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,Transformation,737052,South
NORTH SHORE K-8,JACKSONVILLE,FL,DUVAL,Turnaround,711587,South
GLADES CENTRAL HIGH SCHOOL,BELLE GLADE,FL,PALM BEACH,Transformation,666136,South
NORTH MIAMI SENIOR HIGH SCHOOL,NORTH MIAMI,FL,DADE,Transformation,108015,South
GATEWAY HIGH SCHOOL,KISSIMMEE,FL,OSCEOLA,Transformation,660025,South
EDEN PARK ELEMENTARY SCHOOL,IMMOKALEE,FL,COLLIER,Transformation,617334,South
WEST GADSDEN HIGH SCHOOL,GREENSBORO,FL,GADSDEN,Transformation,737977,South
MIAMI EDISON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,Turnaround,618351,South
MADISON COUNTY HIGH SCHOOL,MADISON,FL,MADISON,Transformation,515138,South
SUNLAND PARK ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,Transformation,713746,South
NATHAN B. FORREST HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,Transformation,759293,South
OSCAR J. POPE ELEMENTARY SCHOOL,LAKELAND,FL,POLK,Transformation,736088,South
NORTH MIAMI MIDDLE SCHOOL,NORTH MIAMI,FL,DADE,Transformation,440823,South
JEFFERSON COUNTY MIDDLE/HIGH SCHOOL,MONTICELLO,FL,JEFFERSON,Transformation,647552,South
LONG BRANCH ELEMENTARY SCHOOL,JACKSONVILLE,FL,DUVAL,Turnaround,500000,South
BOCA CIEGA HIGH SCHOOL,GULFPORT,FL,PINELLAS,Transformation,500000,South
PINE VILLA ELEMENTARY SCHOOL,MIAMI,FL,DADE,Transformation,267620,South
HERNANDO HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,Transformation,737052,South
ANDREW JACKSON HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,Turnaround,636816,South
LAKE WORTH HIGH SCHOOL,LAKE WORTH,FL,PALM BEACH,Transformation,10496,South
HOLMES ELEMENTARY SCHOOL,MIAMI,FL,DADE,Transformation,276644,South
HAMILTON COUNTY HIGH SCHOOL,JASPER,FL,HAMILTON,Transformation,698427,South
OAK RIDGE HIGH SCHOOL,ORLANDO,FL,ORANGE,Transformation,652965,South
MIAMI NORTHWESTERN SENIOR HIGH,MIAMI,FL,DADE,Turnaround,796553,South
IMMOKALEE HIGH SCHOOL,IMMOKALEE,FL,COLLIER,Transformation,567148,South
WARRINGTON MIDDLE SCHOOL,PENSACOLA,FL,ESCAMBIA,Turnaround,759293,South
MIAMI CENTRAL SENIOR HIGH SCHOOL,MIAMI,FL,DADE,Turnaround,784700,South
WILLISTON HIGH SCHOOL,WILLISTON,FL,LEVY,Transformation,651787,South
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,Transformation,627776,South
WILLIAM M. RAINES HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,Turnaround,676989,South
LAKEWOOD HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,Transformation,500000,South
MIAMI EDISON MIDDLE SCHOOL,MIAMI,FL,DADE,Turnaround,407497,South
MIDDLETON HIGH SCHOOL,TAMPA,FL,HILLSBOROUGH,Transformation,759293,South
JEAN RIBAULT HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,Turnaround,713451,South
RIDGEWOOD HIGH SCHOOL,NEW PORT RICHEY,FL,PASCO,Transformation,759293,South
NORTH COUNTY ELEMENTARY SCHOOL,MIAMI GARDENS,FL,DADE,Turnaround,251911,South
CLEWISTON HIGH SCHOOL,CLEWISTON,FL,HENDRY,Transformation,759293,South
BOOKER T. WASHINGTON SENIOR HIGH,MIAMI,FL,DADE,Turnaround,644329,South
CELEBRATION HIGH SCHOOL,CELEBRATION,FL,OSCEOLA,Transformation,660025,South
FREDERICK R. DOUGLASS ELEMENTARY,MIAMI,FL,DADE,Turnaround,344819,South
CENTRAL HAMILTON ELEMENTARY SCHOOL,JASPER,FL,HAMILTON,Transformation,518789,South
EVANS HIGH SCHOOL,ORLANDO,FL,ORANGE,Transformation,652792,South
MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI,FL,DADE,Turnaround,742472,South
COCONUT CREEK HIGH SCHOOL,COCONUT CREEK,FL,BROWARD,Transformation,713746,South
A. PHILIP RANDOLPH ACADEMIES,JACKSONVILLE,FL,DUVAL,Transformation,697645,South
MIAMI CAROL CITY SENIOR HIGH,OPA-LOCKA,FL,DADE,Transformation,997322,South
AMOS P. GODBY HIGH SCHOOL,TALLAHASSEE,FL,LEON,Transformation,628602,South
HAWTHORNE MIDDLE/HIGH SCHOOL,HAWTHORNE,FL,ALACHUA,Transformation,635832,South
NORTHWESTERN MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,Transformation,500000,South
GIBBS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,Transformation,500000,South
CHARLES R. DREW MIDDLE SCHOOL,MIAMI,FL,DADE,Turnaround,369914,South
FRANKLIN MIDDLE MAGNET SCHOOL,TAMPA,FL,HILLSBOROUGH,Transformation,759293,South
PAXON MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,Turnaround,633527,South
ROSENWALD ELEMENTARY SCHOOL,SOUTH BAY,FL,PALM BEACH,Transformation,506738,South
BURKE COUNTY HIGH SCHOOL,WAYNESBORO,GA,BURKE COUNTY,Transformation,115158,South
WILLIAM S. HUTCHINGS CAREER CENTER,MACON,GA,BIBB COUNTY,Transformation,955121,South
LANEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,Turnaround,115976,South
CRIM HIGH SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS,Transformation,11667,South
PEACH COUNTY HIGH SCHOOL,FORT VALLEY,GA,PEACH COUNTY,Transformation,185136,South
GRIFFIN HIGH SCHOOL,GRIFFIN,GA,SPALDING COUNTY,Transformation,144427,South
DADE COUNTY HIGH SCHOOL,TRENTON,GA,DADE COUNTY,Transformation,942738,South
GLENN HILLS HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,Transformation,107896,South
DOUGLASS HIGH SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS,Transformation,788579,South
JORDAN VOCATIONAL HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY,Transformation,146453,South
DOOLY COUNTY HIGH SCHOOL,VIENNA,GA,DOOLY COUNTY,Transformation,139306,South
BEACH HIGH SCHOOL,SAVANNAH,GA,CHATHAM COUNTY,Turnaround,122676,South
RIDGELAND HIGH SCHOOL,ROSSVILLE,GA,WALKER COUNTY,Transformation,147015,South
SOUTHWEST HIGH SCHOOL,MACON,GA,BIBB COUNTY,Transformation,119812,South
JOSEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,Transformation,102187,South
GEORGIA SCHOOL FOR THE DEAF,CAVE SPRING,GA,STATE SCHOOLS,Transformation,101486,South
SPENCER HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY,Transformation,164154,South
MCNAIR HIGH SCHOOL,ATLANTA,GA,DEKALB COUNTY,Transformation,868746,South
TEMPLE HIGH SCHOOL,TEMPLE,GA,CARROLL COUNTY,Transformation,105401,South
RUTLAND HIGH SCHOOL,MACON,GA,BIBB COUNTY,Transformation,125013,South
STEWART-QUITMAN HIGH SCHOOL,LUMPKIN,GA,STEWART COUNTY,Transformation,688641,South
NORTHEAST HIGH SCHOOL,MACON,GA,BIBB COUNTY,Transformation,112362,South
HAWKINSVILLE HIGH SCHOOL,HAWKINSVILLE,GA,PULASKI COUNTY,Transformation,902342,South
ATLANTA AREA SCHOOL FOR THE DEAF,CLARKSTON,GA,STATE SCHOOLS,Transformation,663957,South
HENRY COUNTY HIGH SCHOOL,MCDONOUGH,GA,HENRY COUNTY,Transformation,140653,South
CLARKSTON HIGH SCHOOL,CLARKSTON,GA,DEKALB COUNTY,Transformation,876027,South
WEEKS MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,Transformation,10000,Midwest
NORTH HIGH SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,Transformation,10000,Midwest
HOYT MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,Transformation,10000,Midwest
JACK M LOGAN MIDDLE SCHOOL,WATERLOO,IA,WATERLOO COMM SCHOOL DISTRICT,Transformation,761197,Midwest
MURTAUGH MIDDLE SCHOOL,MURTAUGH,ID,MURTAUGH JOINT DISTRICT,Transformation,209893,West
JEFFERSON MIDDLE SCHOOL,CALDWELL,ID,CALDWELL DISTRICT,Transformation,286787,West
THORNWOOD HIGH SCHOOL,SOUTH HOLLAND,IL,THORNTON TWP HSD 205,Transformation,170473,Midwest
MANUAL HIGH SCHOOL,PEORIA,IL,PEORIA SD 150,Turnaround,122159,Midwest
MARSHALL METROPOLITAN HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,Turnaround,195114,Midwest
EGYPTIAN SR HIGH SCHOOL,TAMMS,IL,EGYPTIAN CUSD 5,Transformation,11848,Midwest
HARPER HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,Turnaround,198187,Midwest
THORNTON TOWNSHIP HIGH SCHOOL,HARVEY,IL,THORNTON TWP HSD 205,Transformation,170473,Midwest
DEPUE HIGH SCHOOL,DEPUE,IL,DEPUE USD 103,Transformation,793604,Midwest
FENGER ACADEMY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,Turnaround,185042,Midwest
THORNRIDGE HIGH SCHOOL,DOLTON,IL,THORNTON TWP HSD 205,Transformation,170473,Midwest
PHILLIPS ACADEMY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,Restart,179737,Midwest
BENDIX SCHOOL,SOUTH BEND,IN,SOUTH BEND COMMUNITY SCH CORP,Transformation,113677,Midwest
GLENWOOD MIDDLE SCHOOL,EVANSVILLE,IN,EVANSVILLE-VANDERBURGH SCH CORP,Transformation,199941,Midwest
GEORGE WASHINGTON COMMUNITY,INDIANAPOLIS,IN,INDIANAPOLIS PUBLIC SCHOOLS,Turnaround,198496,Midwest
INDIANAPOLIS METROPOLITAN HIGH SCH,INDIANAPOLIS,IN,INDIANAPOLIS METROPOLITAN HIGH SCH,Transformation,735737,Midwest
JOHN MARSHALL COMMUNITY HIGH SCH,INDIANAPOLIS,IN,INDIANAPOLIS PUBLIC SCHOOLS,Turnaround,191676,Midwest
THE CHALLENGE FOUNDATION ACADEMY,INDIANAPOLIS,IN,CHALLENGE FOUNDATION ACADEMY,Transformation,552282,Midwest
HAMMOND HIGH SCHOOL,HAMMOND,IN,SCHOOL CITY OF HAMMOND,Turnaround,199958,Midwest
EMERSON ELEM,KANSAS CITY,KS,KANSAS CITY,Turnaround,108003,Midwest
HIGHLAND PARK HIGH,TOPEKA,KS,TOPEKA PUBLIC SCHOOLS,Transformation,197018,Midwest
SOUTH EAST HIGH,CHEROKEE,KS,CHEROKEE,Transformation,764280,Midwest
LIBERAL  SOUTH MIDDLE,LIBERAL,KS,LIBERAL,Transformation,180378,Midwest
NORTHWEST MIDDLE,KANSAS CITY,KS,KANSAS CITY,Transformation,18984,Midwest
CURTIS MIDDLE SCHOOL,WICHITA,KS,WICHITA,Transformation,10000,Midwest
WESTERN MIDDLE SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,Turnaround,429176,South
VALLEY TRADITIONAL HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,Turnaround,588932,South
METCALFE COUNTY HIGH SCHOOL,EDMONTON,KY,METCALFE COUNTY,Transformation,433993,South
SHAWNEE HIGH SCHOOL MAGNET CAREER ACADEM,LOUISVILLE,KY,JEFFERSON COUNTY,Turnaround,437283,South
FERN CREEK TRADITIONAL HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,Turnaround,559459,South
LESLIE COUNTY HIGH SCHOOL,HYDEN,KY,LESLIE COUNTY,Transformation,498795,South
ROBERT FROST MIDDLE SCHOOL,VALLEY STATION,KY,JEFFERSON COUNTY,Turnaround,437283,South
CAVERNA HIGH SCHOOL,HORSE CAVE,KY,CAVERNA INDEPENDENT,Transformation,395523,South
LAWRENCE COUNTY HIGH SCHOOL,LOUISA,KY,LAWRENCE COUNTY,Transformation,808211,South
WESTERN MST MAGNET HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,Turnaround,437283,South
CHELSEA HIGH,CHELSEA,MA,CHELSEA,Transformation,748937,Northeast
THE ENGLISH HIGH,BOSTON,MA,BOSTON,Transformation,927362,Northeast
ELIHU GREENWOOD,HYDE PARK,MA,BOSTON,Transformation,427239,Northeast
ORCHARD GARDENS,ROXBURY,MA,BOSTON,Turnaround,110786,Northeast
PAUL A DEVER,DORCHESTER,MA,BOSTON,Turnaround,863413,Northeast
DEARBORN,ROXBURY,MA,BOSTON,Transformation,420721,Northeast
HARBOR SCHOOL,BOSTON,MA,BOSTON,Turnaround,586623,Northeast
JOHN P HOLLAND,DORCHESTER,MA,BOSTON,Transformation,918500,Northeast
BLACKSTONE,BOSTON,MA,BOSTON,Turnaround,743593,Northeast
M MARCUS KILEY MIDDLE,SPRINGFIELD,MA,SPRINGFIELD,Transformation,767986,Northeast
WILLIAM MONROE TROTTER,DORCHESTER,MA,BOSTON,Turnaround,518312,Northeast
JOHN F KENNEDY,JAMAICA PLAIN,MA,BOSTON,Transformation,407794,Northeast
THURGOOD MARSHALL MIDDLE SCHOOL,TEMPLE HILLS,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,Turnaround,773922,South
WILLIAM C. MARCH MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Restart,956457,South
CHINQUAPIN MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Restart,465091,South
BENJAMIN STODDERT MIDDLE,TEMPLE HILLS,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,Turnaround,773922,South
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Turnaround,128848,South
CALVERTON,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Restart,177759,South
G. JAMES GHOLSON MIDDLE,LANDOVER,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,Turnaround,831888,South
GARRISON MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Restart,120707,South
BOOKER T. WASHINGTON MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Turnaround,928355,South
DREW FREEMAN MIDDLE,SUITLAND,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,Turnaround,773922,South
COMMODORE JOHN ROGERS ELEMENTARY,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,Restart,102706,South
LESSENGER ELEMENTARY-MIDDLE SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,Turnaround,148488,Midwest
E.A. JOHNSON MEMORIAL H.S.,MOUNT MORRIS,MI,MT. MORRIS CONSOLIDATED SCHOOLS,Transformation,679699,Midwest
BUCHANAN HIGH SCHOOL,BUCHANAN,MI,BUCHANAN COMMUNITY SCHOOLS,Transformation,121632,Midwest
WESTWOOD MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,Turnaround,171133,Midwest
ALGER MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,Turnaround,171133,Midwest
WALDRON MIDDLE SCHOOL,WALDRON,MI,WALDRON AREA SCHOOLS,Transformation,273500,Midwest
WHITE ELEMENTARY SCHOOL,HAMTRAMCK,MI,DETROIT CITY SCHOOL DISTRICT,Transformation,122853,Midwest
ARTHUR HILL HIGH SCHOOL,SAGINAW,MI,SAGINAW CITY SCHOOL DISTRICT,Transformation,164933,Midwest
MT. CLEMENS HIGH SCHOOL,MOUNT CLEMENS,MI,MT. CLEMENS COMMUNITY SCHOOL DISTRICT,Transformation,751945,Midwest
ADRIAN HIGH SCHOOL,ADRIAN,MI,ADRIAN CITY SCHOOL DISTRICT,Transformation,948838,Midwest
UNION HIGH SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,Transformation,190709,Midwest
LEE HIGH SCHOOL,WYOMING,MI,GODFREY-LEE PUBLIC SCHOOLS,Transformation,894861,Midwest
LINCOLN HIGH SCHOOL,WARREN,MI,VAN DYKE PUBLIC SCHOOLS,Transformation,416177,Midwest
SOUTHWESTERN HIGH SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,Turnaround,135109,Midwest
ROMULUS MIDDLE SCHOOL,ROMULUS,MI,ROMULUS COMMUNITY SCHOOLS,Transformation,199852,Midwest
FARWELL MIDDLE SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,Turnaround,602552,Midwest
INKSTER HIGH SCHOOL,INKSTER,MI,SCHOOL DISTRICT OF THE CITY OF INKSTER,Turnaround,16228,Midwest
WESTON PREPARATORY ACADEMY,DETROIT,MI,WESTON PREPARATORY ACADEMY,Transformation,704180,Midwest
OTTAWA HILLS HIGH SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,Transformation,190709,Midwest
FITZGERALD SENIOR HIGH SCHOOL,WARREN,MI,FITZGERALD PUBLIC SCHOOLS,Transformation,447461,Midwest
SPRINGPORT HIGH SCHOOL,SPRINGPORT,MI,SPRINGPORT PUBLIC SCHOOLS,Transformation,774100,Midwest
NOLAN ELEMENTARY SCHOOL,HIGHLAND PARK,MI,DETROIT CITY SCHOOL DISTRICT,Transformation,121554,Midwest
OAK PARK HIGH SCHOOL,OAK PARK,MI,OAK PARK CITY SCHOOL DISTRICT,Turnaround,196658,Midwest
BUENA VISTA HIGH SCHOOL,SAGINAW,MI,BUENA VISTA SCHOOL DISTRICT,Transformation,815637,Midwest
GRANT HIGH SCHOOL,GRANT,MI,GRANT PUBLIC SCHOOL DISTRICT,Transformation,552326,Midwest
GERALD R. FORD MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,Turnaround,144344,Midwest
PHOENIX ELEMENTARY,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,Turnaround,811102,Midwest
THOMPSON MIDDLE SCHOOL,SAGINAW,MI,SAGINAW CITY SCHOOL DISTRICT,Transformation,125917,Midwest
WELLSTONE INTERNATIONAL HIGH,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,Transformation,528276,Midwest
EDISON SENIOR HIGH,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,Turnaround,878276,Midwest
CASS LAKE-BENA SECONDARY,CASS LAKE,MN,CASS LAKE-BENA PUBLIC SCHOOLS,Transformation,529518,Midwest
MAXFIELD MAGNET ELEMENTARY,ST. PAUL,MN,ST. PAUL PUBLIC SCHOOL DISTRICT,Transformation,600000,Midwest
NORTH VIEW IB WORLD SCHOOL,BROOKLYN PARK,MN,OSSEO PUBLIC SCHOOL DISTRICT,Transformation,850000,Midwest
BETHUNE ELEMENTARY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,Transformation,528276,Midwest
BROOKLYN CENTER SECONDARY,BROOKLYN CENTER,MN,BROOKLYN CENTER SCHOOL DISTRICT,Transformation,700000,Midwest
HUMBOLDT SENIOR HIGH,ST. PAUL,MN,ST. PAUL PUBLIC SCHOOL DISTRICT,Turnaround,850000,Midwest
OGILVIE SECONDARY,OGILVIE,MN,OGILVIE PUBLIC SCHOOL DISTRICT,Transformation,561111,Midwest
