hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty,cnt
0,0,0,0.76,0.66,0.0,13004,7,1,1,0,0,149
1,0,0,0.74,0.7,0.1343,13005,7,1,1,0,0,93
2,0,0,0.72,0.74,0.0896,13006,7,1,1,0,0,90
3,0,0,0.72,0.84,0.1343,13007,7,1,1,0,0,33
4,0,0,0.7,0.79,0.1939999999999999,13008,7,1,1,0,0,4
5,0,0,0.68,0.79,0.1045,13009,7,1,1,0,0,10
6,0,0,0.7,0.79,0.0896,13010,7,1,1,0,0,27
7,0,0,0.74,0.7,0.0,13011,7,1,1,0,0,50
8,0,0,0.78,0.62,0.1045,13012,7,1,1,0,0,142
9,0,0,0.82,0.56,0.0,13013,7,1,1,0,0,219
10,0,0,0.86,0.44,0.2985,13014,7,1,1,0,0,366
11,0,0,0.88,0.39,0.2239,13015,7,1,1,0,0,377
12,0,0,0.9,0.37,0.2239,13016,7,1,1,0,0,433
13,0,0,0.92,0.33,0.2537,13017,7,1,1,0,0,420
14,0,0,0.92,0.33,0.2537,13018,7,1,1,0,0,444
15,0,0,0.9,0.37,0.2836,13019,7,1,1,0,0,345
16,0,0,0.92,0.33,0.2985,13020,7,1,1,0,0,313
17,0,0,0.92,0.26,0.2985,13021,7,1,1,0,0,413
18,0,0,0.88,0.32,0.3582,13022,7,1,1,0,0,370
19,0,0,0.84,0.39,0.1343,13023,7,1,1,0,0,382
20,0,0,0.84,0.39,0.1343,13024,7,1,1,0,0,332
21,0,0,0.84,0.39,0.1343,13025,7,1,1,0,0,258
22,0,0,0.82,0.43,0.1343,13026,7,1,1,0,0,151
23,0,0,0.78,0.52,0.1642,13027,7,1,0,1,0,110
0,0,1,0.76,0.58,0.2239,13028,7,1,0,0,1,43
1,0,1,0.76,0.58,0.1939999999999999,13029,7,1,0,0,1,17
2,0,1,0.74,0.51,0.2537,13030,7,1,0,0,1,15
3,0,1,0.72,0.54,0.4179,13031,7,1,0,0,1,5
4,0,1,0.72,0.54,0.2985,13032,7,1,0,0,1,12
5,0,1,0.72,0.51,0.0,13033,7,1,0,0,1,40
6,0,1,0.7,0.58,0.1045,13034,7,1,1,0,0,136
7,0,1,0.74,0.51,0.1045,13035,7,1,1,0,0,398
8,0,1,0.76,0.52,0.1939999999999999,13036,7,1,1,0,0,568
9,0,1,0.78,0.46,0.2537,13037,7,1,1,0,0,295
10,0,1,0.8,0.43,0.2537,13038,7,1,1,0,0,174
11,0,1,0.84,0.28,0.2985,13039,7,1,1,0,0,201
12,0,1,0.84,0.32,0.1939999999999999,13040,7,1,1,0,0,257
13,0,1,0.86,0.34,0.2239,13041,7,1,1,0,0,236
14,0,1,0.86,0.34,0.2239,13042,7,1,1,0,0,230
15,0,1,0.84,0.36,0.1939999999999999,13043,7,1,1,0,0,234
16,0,1,0.84,0.36,0.2836,13044,7,1,1,0,0,365
17,0,1,0.84,0.32,0.1343,13045,7,1,1,0,0,747
18,0,1,0.84,0.32,0.1642,13046,7,1,1,0,0,730
19,0,1,0.78,0.43,0.1343,13047,7,1,1,0,0,581
20,0,1,0.78,0.43,0.1343,13048,7,1,1,0,0,395
21,0,1,0.76,0.45,0.1343,13049,7,1,1,0,0,258
22,0,1,0.74,0.51,0.1642,13050,7,1,1,0,0,188
23,0,1,0.74,0.51,0.1045,13051,7,1,1,0,0,102
0,0,1,0.72,0.54,0.0,13052,7,1,1,0,0,53
1,0,1,0.72,0.58,0.0,13053,7,1,1,0,0,14
2,0,1,0.72,0.58,0.0,13054,7,1,1,0,0,10
3,0,1,0.7,0.65,0.1343,13055,7,1,1,0,0,2
4,0,1,0.68,0.65,0.1045,13056,7,1,1,0,0,6
5,0,1,0.7,0.61,0.0,13057,7,1,1,0,0,35
6,0,1,0.7,0.65,0.1343,13058,7,1,1,0,0,154
7,0,1,0.74,0.58,0.0,13059,7,1,1,0,0,483
8,0,1,0.74,0.62,0.0896,13060,7,1,1,0,0,646
9,0,1,0.8,0.49,0.1642,13061,7,1,1,0,0,272
10,0,1,0.82,0.43,0.2239,13062,7,1,1,0,0,209
11,0,1,0.86,0.34,0.1939999999999999,13063,7,1,1,0,0,217
12,0,1,0.88,0.28,0.1939999999999999,13064,7,1,1,0,0,272
13,0,1,0.9,0.25,0.1343,13065,7,1,1,0,0,283
14,0,1,0.9,0.25,0.1939999999999999,13066,7,1,1,0,0,310
15,0,1,0.9,0.24,0.0,13067,7,1,0,0,1,401
16,0,1,0.9,0.24,0.1939999999999999,13068,7,1,0,0,1,527
17,0,1,0.86,0.3,0.1642,13069,7,1,0,0,1,722
18,0,1,0.86,0.3,0.0,13070,7,1,0,0,1,627
19,0,1,0.84,0.36,0.1343,13071,7,1,0,0,1,497
20,0,1,0.76,0.55,0.4925,13072,7,1,0,1,0,376
21,0,1,0.7,0.7,0.2836,13073,7,1,0,0,1,196
22,0,1,0.68,0.79,0.1939999999999999,13074,7,1,1,0,0,177
23,0,1,0.66,0.83,0.0,13075,7,1,1,0,0,171
0,1,0,0.68,0.79,0.0896,13076,7,1,1,0,0,159
1,1,0,0.68,0.74,0.0,13077,7,1,1,0,0,123
2,1,0,0.66,0.83,0.1343,13078,7,1,1,0,0,93
3,1,0,0.68,0.74,0.1939999999999999,13079,7,1,1,0,0,32
4,1,0,0.68,0.69,0.2537,13080,7,1,1,0,0,16
5,1,0,0.66,0.69,0.0,13081,7,1,1,0,0,19
6,1,0,0.66,0.69,0.0,13082,7,1,1,0,0,32
7,1,0,0.68,0.65,0.0,13083,7,1,1,0,0,72
8,1,0,0.7,0.61,0.1045,13084,7,1,1,0,0,153
9,1,0,0.76,0.52,0.0,13085,7,1,1,0,0,293
10,1,0,0.8,0.46,0.0,13086,7,1,1,0,0,447
11,1,0,0.82,0.46,0.1343,13087,7,1,1,0,0,485
12,1,0,0.86,0.41,0.2239,13088,7,1,1,0,0,494
13,1,0,0.9,0.35,0.0,13089,7,1,1,0,0,499
14,1,0,0.9,0.37,0.1642,13090,7,1,1,0,0,547
15,1,0,0.92,0.35,0.2985,13091,7,1,1,0,0,454
16,1,0,0.92,0.35,0.2537,13092,7,1,1,0,0,389
17,1,0,0.92,0.35,0.2985,13093,7,1,1,0,0,414
18,1,0,0.9,0.42,0.1939999999999999,13094,7,1,1,0,0,430
19,1,0,0.86,0.47,0.2239,13095,7,1,1,0,0,432
20,1,0,0.86,0.47,0.2239,13096,7,1,1,0,0,551
21,1,0,0.84,0.53,0.1343,13097,7,1,1,0,0,584
22,1,0,0.82,0.56,0.2239,13098,7,1,1,0,0,502
23,1,0,0.78,0.43,0.0896,13099,7,1,0,0,1,183
0,0,1,0.74,0.51,0.1045,13100,7,1,1,0,0,88
1,0,1,0.74,0.51,0.2836,13101,7,1,1,0,0,30
2,0,1,0.74,0.51,0.0,13102,7,1,1,0,0,18
3,0,1,0.72,0.54,0.1939999999999999,13103,7,1,1,0,0,7
4,0,1,0.72,0.58,0.0,13104,7,1,1,0,0,7
5,0,1,0.72,0.62,0.0,13105,7,1,1,0,0,29
6,0,1,0.72,0.58,0.0,13106,7,1,1,0,0,133
7,0,1,0.76,0.55,0.0,13107,7,1,1,0,0,343
8,0,1,0.8,0.49,0.1343,13108,7,1,1,0,0,550
9,0,1,0.84,0.49,0.2985,13109,7,1,1,0,0,293
10,0,1,0.86,0.44,0.3582,13110,7,1,1,0,0,186
11,0,1,0.9,0.35,0.2985,13111,7,1,1,0,0,244
12,0,1,0.9,0.35,0.3582,13112,7,1,1,0,0,276
13,0,1,0.92,0.33,0.2239,13113,7,1,1,0,0,310
14,0,1,0.92,0.33,0.3284,13114,7,1,1,0,0,241
15,0,1,0.92,0.33,0.3582,13115,7,1,1,0,0,254
16,0,1,0.92,0.33,0.2537,13116,7,1,1,0,0,433
17,0,1,0.92,0.35,0.1642,13117,7,1,1,0,0,689
18,0,1,0.9,0.39,0.3284,13118,7,1,0,0,1,607
19,0,1,0.88,0.39,0.2537,13119,7,1,0,0,1,503
20,0,1,0.86,0.41,0.2239,13120,7,1,0,0,1,321
21,0,1,0.84,0.47,0.1939999999999999,13121,7,1,1,0,0,323
22,0,1,0.82,0.59,0.1343,13122,7,1,1,0,0,225
23,0,1,0.8,0.55,0.1642,13123,7,1,1,0,0,131
0,0,1,0.78,0.62,0.1343,13124,7,1,1,0,0,102
1,0,1,0.78,0.55,0.2239,13125,7,1,1,0,0,29
2,0,1,0.76,0.62,0.1343,13126,7,1,1,0,0,17
3,0,1,0.74,0.7,0.1939999999999999,13127,7,1,0,0,1,7
4,0,1,0.74,0.66,0.2239,13128,7,1,1,0,0,6
5,0,1,0.74,0.66,0.1939999999999999,13129,7,1,1,0,0,35
6,0,1,0.74,0.66,0.1939999999999999,13130,7,1,1,0,0,131
7,0,1,0.78,0.46,0.1343,13131,7,1,1,0,0,353
8,0,1,0.8,0.41,0.1642,13132,7,1,1,0,0,585
9,0,1,0.82,0.36,0.1343,13133,7,1,1,0,0,304
10,0,1,0.86,0.3,0.0,13134,7,1,1,0,0,210
11,0,1,0.84,0.32,0.0896,13135,7,1,1,0,0,233
12,0,1,0.88,0.28,0.1045,13136,7,1,1,0,0,331
13,0,1,0.9,0.27,0.1045,13137,7,1,1,0,0,293
14,0,1,0.9,0.31,0.1642,13138,7,1,1,0,0,275
15,0,1,0.92,0.29,0.1939999999999999,13139,7,1,1,0,0,285
16,0,1,0.92,0.29,0.1045,13140,7,1,1,0,0,369
17,0,1,0.92,0.29,0.0,13141,7,1,1,0,0,576
18,0,1,0.9,0.33,0.2537,13142,7,1,1,0,0,560
19,0,1,0.88,0.35,0.2239,13143,7,1,1,0,0,418
20,0,1,0.86,0.39,0.1045,13144,7,1,1,0,0,336
21,0,1,0.82,0.52,0.1343,13145,7,1,1,0,0,300
22,0,1,0.8,0.55,0.1939999999999999,13146,7,1,1,0,0,288
23,0,1,0.8,0.63,0.1045,13147,7,1,1,0,0,164
0,0,0,0.78,0.66,0.1343,13148,7,1,1,0,0,150
1,0,0,0.76,0.7,0.1642,13149,7,1,1,0,0,71
2,0,0,0.76,0.72,0.1642,13150,7,1,1,0,0,58
3,0,0,0.74,0.74,0.1343,13151,7,1,1,0,0,31
4,0,0,0.74,0.74,0.1642,13152,7,1,1,0,0,16
5,0,0,0.74,0.74,0.1939999999999999,13153,7,1,1,0,0,14
6,0,0,0.74,0.74,0.1045,13154,7,1,1,0,0,31
7,0,0,0.78,0.66,0.1045,13155,7,1,1,0,0,71
8,0,0,0.82,0.63,0.1939999999999999,13156,7,1,1,0,0,152
9,0,0,0.84,0.59,0.1642,13157,7,1,1,0,0,256
10,0,0,0.92,0.37,0.2239,13158,7,1,1,0,0,325
11,0,0,0.94,0.38,0.1939999999999999,13159,7,1,1,0,0,367
12,0,0,0.96,0.31,0.3582,13160,7,1,1,0,0,342
13,0,0,0.96,0.31,0.2537,13161,7,1,0,0,1,360
14,0,0,0.96,0.3,0.1343,13162,7,1,0,0,1,308
15,0,0,0.96,0.26,0.0,13163,7,1,1,0,0,306
16,0,0,1.0,0.19,0.1642,13164,7,1,1,0,0,294
17,0,0,0.96,0.26,0.1343,13165,7,1,1,0,0,279
18,0,0,0.94,0.29,0.0896,13166,7,1,1,0,0,277
19,0,0,0.92,0.33,0.1343,13167,7,1,1,0,0,287
20,0,0,0.9,0.37,0.1642,13168,7,1,1,0,0,276
21,0,0,0.88,0.37,0.1939999999999999,13169,7,1,1,0,0,201
22,0,0,0.84,0.59,0.1939999999999999,13170,7,1,1,0,0,220
23,0,0,0.84,0.56,0.1642,13171,7,1,1,0,0,148
0,0,0,0.82,0.56,0.1343,13172,7,1,1,0,0,147
1,0,0,0.82,0.56,0.1045,13173,7,1,1,0,0,124
2,0,0,0.82,0.52,0.1045,13174,7,1,1,0,0,70
3,0,0,0.8,0.59,0.1045,13175,7,1,1,0,0,35
4,0,0,0.78,0.66,0.1045,13176,7,1,1,0,0,13
5,0,0,0.78,0.62,0.0,13177,7,1,1,0,0,6
6,0,0,0.78,0.7,0.1343,13178,7,1,1,0,0,21
7,0,0,0.8,0.66,0.0,13179,7,1,1,0,0,52
8,0,0,0.84,0.53,0.1343,13180,7,1,1,0,0,130
9,0,0,0.86,0.5,0.1045,13181,7,1,1,0,0,242
10,0,0,0.9,0.45,0.0,13182,7,1,1,0,0,319
11,0,0,0.92,0.42,0.2985,13183,7,1,1,0,0,389
12,0,0,0.92,0.42,0.1939999999999999,13184,7,1,1,0,0,376
13,0,0,0.94,0.38,0.2537,13185,7,1,1,0,0,337
14,0,0,0.96,0.36,0.1642,13186,7,1,1,0,0,312
15,0,0,0.92,0.42,0.2836,13187,7,1,0,1,0,298
16,0,0,0.8,0.66,0.2239,13188,7,1,0,0,1,291
17,0,0,0.78,0.59,0.0,13189,7,1,1,0,0,270
18,0,0,0.78,0.62,0.1045,13190,7,1,1,0,0,253
19,0,0,0.78,0.62,0.1642,13191,7,1,1,0,0,250
20,0,0,0.76,0.7,0.0896,13192,7,1,1,0,0,285
21,0,0,0.76,0.7,0.1343,13193,7,1,1,0,0,207
22,0,0,0.74,0.7,0.0896,13194,7,1,0,1,0,122
23,0,0,0.68,0.83,0.0896,13195,7,1,0,1,0,123
0,0,1,0.68,0.89,0.0896,13196,7,1,0,0,1,39
1,0,1,0.7,0.89,0.1045,13197,7,1,0,1,0,18
2,0,1,0.7,0.89,0.1939999999999999,13198,7,1,0,1,0,5
3,0,1,0.7,0.89,0.1939999999999999,13199,7,1,0,1,0,5
4,0,1,0.66,0.89,0.3881,13200,7,1,0,1,0,2
5,0,1,0.66,0.83,0.2239,13201,7,1,0,0,1,28
6,0,1,0.64,0.89,0.2537,13202,7,1,0,1,0,92
7,0,1,0.66,0.83,0.2239,13203,7,1,0,1,0,230
8,0,1,0.66,0.83,0.1642,13204,7,1,0,0,1,455
9,0,1,0.66,0.83,0.1642,13205,7,1,0,0,1,363
10,0,1,0.66,0.83,0.1939999999999999,13206,7,1,0,0,1,175
11,0,1,0.72,0.62,0.1343,13207,7,1,0,0,1,216
12,0,1,0.74,0.58,0.1343,13208,7,1,0,0,1,266
13,0,1,0.76,0.55,0.2537,13209,7,1,0,0,1,255
14,0,1,0.74,0.55,0.2537,13210,7,1,0,0,1,242
15,0,1,0.76,0.45,0.2239,13211,7,1,0,0,1,280
16,0,1,0.78,0.4,0.2836,13212,7,1,1,0,0,413
17,0,1,0.78,0.4,0.1642,13213,7,1,1,0,0,849
18,0,1,0.76,0.48,0.1343,13214,7,1,1,0,0,872
19,0,1,0.74,0.55,0.1642,13215,7,1,1,0,0,631
20,0,1,0.74,0.55,0.1045,13216,7,1,0,0,1,447
21,0,1,0.74,0.55,0.0896,13217,7,1,0,0,1,331
22,0,1,0.72,0.58,0.1045,13218,7,1,0,0,1,224
23,0,1,0.7,0.65,0.1045,13219,7,1,0,0,1,131
0,0,1,0.7,0.7,0.0896,13220,7,1,1,0,0,69
1,0,1,0.7,0.74,0.1343,13221,7,1,1,0,0,15
2,0,1,0.7,0.74,0.1343,13222,7,1,1,0,0,16
3,0,1,0.68,0.79,0.0,13223,7,1,1,0,0,3
4,0,1,0.68,0.79,0.1343,13224,7,1,1,0,0,4
5,0,1,0.66,0.83,0.1343,13225,7,1,1,0,0,42
6,0,1,0.68,0.79,0.1045,13226,7,1,0,0,1,187
7,0,1,0.7,0.74,0.1045,13227,7,1,0,0,1,520
8,0,1,0.72,0.74,0.1343,13228,7,1,1,0,0,649
9,0,1,0.74,0.66,0.1343,13229,7,1,1,0,0,331
10,0,1,0.76,0.62,0.1939999999999999,13230,7,1,1,0,0,190
11,0,1,0.8,0.46,0.1939999999999999,13231,7,1,1,0,0,249
12,0,1,0.8,0.41,0.1343,13232,7,1,1,0,0,272
13,0,1,0.82,0.38,0.1939999999999999,13233,7,1,1,0,0,280
14,0,1,0.82,0.38,0.1642,13234,7,1,1,0,0,242
15,0,1,0.8,0.41,0.2239,13235,7,1,1,0,0,265
16,0,1,0.8,0.43,0.2239,13236,7,1,1,0,0,435
17,0,1,0.78,0.49,0.1939999999999999,13237,7,1,1,0,0,872
18,0,1,0.7,0.74,0.2239,13238,7,1,0,1,0,819
19,0,1,0.7,0.74,0.2239,13239,7,1,0,1,0,414
20,0,1,0.64,0.83,0.2239,13240,7,1,0,1,0,84
21,0,1,0.64,0.89,0.1045,13241,7,1,0,1,0,90
22,0,1,0.64,0.83,0.1343,13242,7,1,0,0,1,139
23,0,1,0.64,0.89,0.1045,13243,7,1,0,0,1,103
0,0,1,0.66,0.83,0.1343,13244,7,1,0,0,1,44
1,0,1,0.64,0.89,0.0,13245,7,1,1,0,0,14
2,0,1,0.64,0.89,0.0,13246,7,1,1,0,0,5
3,0,1,0.64,0.89,0.1343,13247,7,1,1,0,0,5
4,0,1,0.64,0.89,0.1343,13248,7,1,1,0,0,7
5,0,1,0.64,0.89,0.0,13249,7,1,1,0,0,41
6,0,1,0.64,0.89,0.1343,13250,7,1,1,0,0,185
7,0,1,0.66,0.83,0.1045,13251,7,1,0,0,1,497
8,0,1,0.68,0.79,0.1642,13252,7,1,0,0,1,674
9,0,1,0.7,0.74,0.1343,13253,7,1,0,0,1,328
10,0,1,0.72,0.62,0.1343,13254,7,1,0,0,1,195
11,0,1,0.76,0.58,0.1343,13255,7,1,0,0,1,229
12,0,1,0.78,0.43,0.0,13256,7,1,0,0,1,292
13,0,1,0.8,0.42,0.1642,13257,7,1,0,0,1,273
14,0,1,0.8,0.41,0.2239,13258,7,1,1,0,0,241
15,0,1,0.8,0.41,0.2537,13259,7,1,1,0,0,276
16,0,1,0.8,0.38,0.1939999999999999,13260,7,1,1,0,0,411
17,0,1,0.8,0.31,0.2239,13261,7,1,1,0,0,830
18,0,1,0.78,0.38,0.2537,13262,7,1,1,0,0,814
19,0,1,0.74,0.48,0.2239,13263,7,1,1,0,0,633
20,0,1,0.74,0.51,0.1642,13264,7,1,1,0,0,483
21,0,1,0.72,0.58,0.2239,13265,7,1,1,0,0,391
22,0,1,0.72,0.58,0.2537,13266,7,1,1,0,0,244
23,0,1,0.7,0.58,0.2537,13267,7,1,0,0,1,152
0,0,1,0.68,0.61,0.0,13268,7,1,0,0,1,56
1,0,1,0.66,0.61,0.0,13269,7,1,0,0,1,21
2,0,1,0.66,0.65,0.0896,13270,7,1,0,0,1,9
3,0,1,0.64,0.69,0.1045,13271,7,1,1,0,0,10
4,0,1,0.64,0.73,0.1045,13272,7,1,1,0,0,5
5,0,1,0.62,0.73,0.1045,13273,7,1,1,0,0,44
6,0,1,0.64,0.73,0.0896,13274,7,1,1,0,0,178
7,0,1,0.64,0.73,0.1343,13275,7,1,1,0,0,512
8,0,1,0.68,0.65,0.1343,13276,7,1,1,0,0,702
9,0,1,0.72,0.58,0.1045,13277,7,1,1,0,0,327
10,0,1,0.74,0.48,0.1642,13278,7,1,1,0,0,214
11,0,1,0.76,0.45,0.1045,13279,7,1,1,0,0,215
12,0,1,0.78,0.35,0.1343,13280,7,1,1,0,0,292
13,0,1,0.8,0.33,0.2239,13281,7,1,1,0,0,277
14,0,1,0.78,0.33,0.2239,13282,7,1,1,0,0,209
15,0,1,0.8,0.36,0.1939999999999999,13283,7,1,1,0,0,271
16,0,1,0.8,0.36,0.1939999999999999,13284,7,1,1,0,0,439
17,0,1,0.76,0.43,0.2239,13285,7,1,1,0,0,795
18,0,1,0.76,0.45,0.1343,13286,7,1,1,0,0,825
19,0,1,0.74,0.48,0.2239,13287,7,1,1,0,0,629
20,0,1,0.74,0.48,0.2239,13288,7,1,1,0,0,514
21,0,1,0.72,0.48,0.2239,13289,7,1,1,0,0,373
22,0,1,0.72,0.51,0.1642,13290,7,1,1,0,0,318
23,0,1,0.7,0.51,0.2239,13291,7,1,0,0,1,211
0,0,1,0.7,0.54,0.1642,13292,7,1,0,0,1,95
1,0,1,0.68,0.54,0.1045,13293,7,1,0,0,1,59
2,0,1,0.66,0.61,0.0896,13294,7,1,0,0,1,17
3,0,1,0.68,0.61,0.0,13295,7,1,0,0,1,9
4,0,1,0.66,0.61,0.0,13296,7,1,0,0,1,11
5,0,1,0.66,0.56,0.0896,13297,7,1,0,0,1,34
6,0,1,0.7,0.54,0.0,13298,7,1,0,0,1,127
7,0,1,0.7,0.54,0.0,13299,7,1,0,0,1,380
8,0,1,0.7,0.54,0.0,13300,7,1,0,0,1,713
9,0,1,0.72,0.51,0.0,13301,7,1,0,0,1,414
10,0,1,0.74,0.48,0.0,13302,7,1,0,0,1,268
11,0,1,0.76,0.45,0.1343,13303,7,1,0,0,1,288
12,0,1,0.76,0.4,0.1045,13304,7,1,0,0,1,379
13,0,1,0.8,0.38,0.1343,13305,7,1,0,0,1,374
14,0,1,0.8,0.38,0.0,13306,7,1,0,0,1,369
15,0,1,0.8,0.36,0.1045,13307,7,1,0,0,1,353
16,0,1,0.8,0.36,0.2239,13308,7,1,0,0,1,492
17,0,1,0.8,0.36,0.1642,13309,7,1,0,0,1,835
18,0,1,0.78,0.46,0.1939999999999999,13310,7,1,1,0,0,631
19,0,1,0.74,0.51,0.1642,13311,7,1,1,0,0,488
20,0,1,0.74,0.48,0.1343,13312,7,1,1,0,0,389
21,0,1,0.72,0.54,0.0,13313,7,1,1,0,0,299
22,0,1,0.74,0.45,0.0,13314,7,1,1,0,0,263
23,0,1,0.72,0.45,0.1343,13315,7,1,0,0,1,212
0,0,0,0.72,0.48,0.0896,13316,7,1,0,0,1,191
1,0,0,0.7,0.51,0.1045,13317,7,1,0,0,1,118
2,0,0,0.7,0.54,0.1045,13318,7,1,0,0,1,101
3,0,0,0.7,0.54,0.1045,13319,7,1,0,0,1,40
4,0,0,0.66,0.61,0.1045,13320,7,1,0,1,0,9
5,0,0,0.64,0.73,0.1045,13321,7,1,0,0,1,5
6,0,0,0.64,0.78,0.0896,13322,7,1,0,0,1,35
7,0,0,0.64,0.78,0.2836,13323,7,1,1,0,0,48
8,0,0,0.62,0.78,0.2836,13324,7,1,1,0,0,151
9,0,0,0.66,0.74,0.1939999999999999,13325,7,1,1,0,0,282
10,0,0,0.72,0.7,0.0896,13326,7,1,0,0,1,401
11,0,0,0.72,0.7,0.1045,13327,7,1,0,0,1,439
12,0,0,0.74,0.66,0.0896,13328,7,1,0,0,1,499
13,0,0,0.76,0.62,0.0896,13329,7,1,0,0,1,591
14,0,0,0.8,0.55,0.1045,13330,7,1,1,0,0,632
15,0,0,0.8,0.55,0.1642,13331,7,1,1,0,0,560
16,0,0,0.72,0.79,0.3582,13332,7,1,0,0,1,566
17,0,0,0.7,0.79,0.1642,13333,7,1,0,1,0,458
18,0,0,0.72,0.79,0.1343,13334,7,1,1,0,0,351
19,0,0,0.72,0.84,0.0896,13335,7,1,1,0,0,431
20,0,0,0.72,0.84,0.0896,13336,7,1,1,0,0,356
21,0,0,0.7,0.84,0.2239,13337,7,1,1,0,0,269
22,0,0,0.7,0.79,0.1939999999999999,13338,7,1,1,0,0,225
23,0,0,0.68,0.83,0.0896,13339,7,1,0,0,1,211
0,0,0,0.68,0.89,0.1642,13340,7,1,1,0,0,187
1,0,0,0.68,0.89,0.1343,13341,7,1,0,0,1,168
2,0,0,0.68,0.89,0.1642,13342,7,1,0,0,1,115
3,0,0,0.68,0.89,0.1642,13343,7,1,0,0,1,57
4,0,0,0.68,0.89,0.1045,13344,7,1,0,0,1,19
5,0,0,0.68,0.89,0.1343,13345,7,1,1,0,0,9
6,0,0,0.68,0.83,0.1343,13346,7,1,1,0,0,15
7,0,0,0.7,0.79,0.0896,13347,7,1,1,0,0,47
8,0,0,0.7,0.84,0.1343,13348,7,1,0,0,1,133
9,0,0,0.72,0.79,0.0,13349,7,1,0,0,1,221
10,0,0,0.76,0.66,0.1343,13350,7,1,1,0,0,382
11,0,0,0.82,0.52,0.1642,13351,7,1,1,0,0,451
12,0,0,0.84,0.47,0.1045,13352,7,1,1,0,0,489
13,0,0,0.86,0.41,0.1045,13353,7,1,1,0,0,480
14,0,0,0.9,0.37,0.2537,13354,7,1,1,0,0,476
15,0,0,0.86,0.47,0.1343,13355,7,1,1,0,0,489
16,0,0,0.86,0.41,0.2239,13356,7,1,1,0,0,495
17,0,0,0.8,0.59,0.4925,13357,7,1,1,0,0,436
18,0,0,0.72,0.79,0.3582,13358,7,1,0,1,0,312
19,0,0,0.72,0.84,0.2239,13359,7,1,1,0,0,312
20,0,0,0.72,0.79,0.2537,13360,7,1,1,0,0,294
21,0,0,0.72,0.79,0.0896,13361,7,1,1,0,0,223
22,0,0,0.72,0.74,0.1045,13362,7,1,1,0,0,130
23,0,0,0.72,0.79,0.1343,13363,7,1,1,0,0,91
0,0,1,0.72,0.79,0.1045,13364,7,1,0,1,0,43
1,0,1,0.7,0.74,0.1939999999999999,13365,7,1,0,0,1,11
2,0,1,0.7,0.74,0.1045,13366,7,1,1,0,0,15
3,0,1,0.68,0.79,0.0896,13367,7,1,1,0,0,6
4,0,1,0.68,0.79,0.1045,13368,7,1,1,0,0,12
5,0,1,0.66,0.78,0.1045,13369,7,1,1,0,0,50
6,0,1,0.68,0.79,0.1343,13370,7,1,1,0,0,140
7,0,1,0.72,0.7,0.0896,13371,7,1,1,0,0,483
8,0,1,0.74,0.66,0.1045,13372,7,1,1,0,0,667
